id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
506103,16.4 mi,2021-10-09,09:30,107,362,43.95,-75.91,43.98,-75.61,MCD
506104,23.6 mi,2021-10-09,10:15,62,16,43.95,-75.92,44.23,-76.09,FIDLS
506105,59.7 mi,2021-10-09,06:45,7686,16,43.45,-76.51,43.98,-75.86,MCD
506106,25.5 mi,2021-10-09,06:45,129,119,43.98,-75.92,44.24,-75.61,MCD
506107,69.9 mi,2021-10-09,07:45,9448,350,43.09,-76.19,43.98,-75.91,MCD70
506108,2.2 mi,2021-10-09,10:20,5935,14,43.95,-75.91,43.97,-75.92,FIDLS
506109,14.8 mi,2021-10-09,08:30,13482,816,43.98,-75.92,44.16,-75.81,MCD
506110,14.8 mi,2021-10-09,08:30,13481,816,43.98,-75.92,44.16,-75.81,MCD
506111,86.6 mi,2021-10-09,08:45,101,671,43.09,-76.19,44.18,-76.09,MCD
506112,28.5 mi,2021-10-09,09:00,3126,487,43.98,-75.92,44.32,-75.96,MCD
506113,12.8 mi,2021-10-09,10:00,9186,59,43.95,-75.91,43.81,-76.02,MCD
506114,15.8 mi,2021-10-09,09:00,100,71,43.98,-75.92,44.03,-75.72,MCD
506115,13.1 mi,2021-10-09,09:15,15490,31,43.98,-75.92,44.02,-75.72,OTP
506116,72.2 mi,2021-10-09,08:00,801,25,43.06,-76.1,43.98,-75.92,MCD
506117,27.6 mi,2021-10-09,11:00,2251,53,43.95,-75.91,44.13,-76.32,MCD
506118,19.3 mi,2021-10-09,14:00,15407,14,43.95,-75.91,44.08,-76.2,STP
506119,388 mi,2021-10-09,13:00,13538,32,40.76,-73.55,44.93,-74.88,""
506120,1.1 mi,2021-10-09,10:15,13390,938,43.98,-75.92,43.97,-75.9,MCD
506121,388 mi,2021-10-09,13:00,13539,32,40.76,-73.55,44.93,-74.88,""
506122,8.1 mi,2021-10-09,10:30,15557,71,43.97,-75.91,44.01,-75.78,PWD
506123,7.9 mi,2021-10-09,11:00,6278,66,43.98,-75.92,44.01,-76.05,MCD
506124,16.8 mi,2021-10-09,11:30,5961,815,43.98,-75.92,43.81,-76.03,MCD
506125,9.7 mi,2021-10-09,11:00,115,938,43.95,-75.91,44.01,-76.04,MCD
506126,16.5 mi,2021-10-09,13:45,205,815,43.95,-75.91,44.14,-76.06,STP
506127,22.3 mi,2021-10-09,13:30,9481,926,43.98,-75.94,44.23,-76.08,MCD
506128,34.2 mi,2021-10-09,12:00,1089,293,43.12,-77.63,43.0,-78.18,GMCD
506129,30.8 mi,2021-10-09,08:15,4165,65,43.98,-75.92,43.89,-75.39,LMCD
506130,30.8 mi,2021-10-09,08:30,4998,65,43.98,-75.92,43.89,-75.39,LMCD
506131,32.4 mi,2021-10-09,06:30,88,134,43.21,-75.46,43.58,-75.34,LMCD
506132,31.5 mi,2021-10-09,17:30,13614,186,44.92,-74.89,44.93,-74.29,""
506133,22.7 mi,2021-10-09,17:00,15797,75,44.34,-75.46,44.59,-75.18,""
506134,23.3 mi,2021-10-09,17:00,15798,75,44.33,-75.45,44.59,-75.18,""
